Degree-level goal and intended college major,Total SAT score,Evidence-based reading and writing (ERW),Math,Holland Occupational Code,,,,,,,,,,,,,,,,
"Agriculture, agriculture operations, and related sciences ",985,502,484,RIE,,,,,,,,,,,,,,,,
Architecture and related services ,1060,530,530,ARI,,,,,,,,,,,,,,,,
"Area, ethnic, cultural, and gender studies ",1051,544,507,SAI,,,,,,,,,,,,,,,,
Biological and biomedical sciences ,1154,581,572,IRS,,,,,,,,,,,,,,,,
"Business, management, marketing, and related support services ",1075,538,537,ECI,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs ",1074,555,519,EAS,,,,,,,,,,,,,,,,
"Computer and information sciences and support services ",1182,583,599,ISC,,,,,,,,,,,,,,,,
"Construction trades, general ",943,474,468,RCE,,,,,,,,,,,,,,,,
Education ,1031,526,504,SIE,,,,,,,,,,,,,,,,
Engineering ,1177,578,599,RIC,,,,,,,,,,,,,,,,
Engineering technologies/technicians ,1093,536,558,RCE,,,,,,,,,,,,,,,,
English language and literature/letters ,1157,608,549,AIE,,,,,,,,,,,,,,,,
Family and consumer sciences/human sciences ,982,501,481,SCE,,,,,,,,,,,,,,,,
"Foreign languages and literatures, general ",1127,582,544,ASE,,,,,,,,,,,,,,,,
Health professions and related clinical sciences ,1052,533,518,SRI,,,,,,,,,,,,,,,,
"History, general ",1146,596,551,AIS,,,,,,,,,,,,,,,,
"Legal studies, general ",1114,572,542,CSE,,,,,,,,,,,,,,,,
"Liberal arts and sciences, general studies, and humanities ",1159,595,564,SAE,,,,,,,,,,,,,,,,
Library science/librarianship ,1147,610,536,SCE,,,,,,,,,,,,,,,,
Mathematics and statistics ,1280,617,663,IRE,,,,,,,,,,,,,,,,
Mechanic and repair technologies/technicians ,943,475,468,RCE,,,,,,,,,,,,,,,,
Military technologies ,1012,514,498,RCE,,,,,,,,,,,,,,,,
Multi/interdisciplinary studies ,1210,610,601,SAE,,,,,,,,,,,,,,,,
Natural resources and conservation ,1151,590,561,RIE,,,,,,,,,,,,,,,,
"Parks, recreation, and leisure studies ",985,497,488,ASE,,,,,,,,,,,,,,,,
"Personal and culinary services, general ",945,484,461,ASE,,,,,,,,,,,,,,,,
Philosophy and religious studies ,1163,598,566,AIE,,,,,,,,,,,,,,,,
Physical sciences ,1221,608,613,IRE,,,,,,,,,,,,,,,,
"Psychology, general ",1076,554,521,SAI,,,,,,,,,,,,,,,,
Public administration and social service professions ,1030,530,500,SIE,,,,,,,,,,,,,,,,
Security and protective services ,981,503,479,RSE,,,,,,,,,,,,,,,,
Social sciences ,1193,611,582,SIE,,,,,,,,,,,,,,,,
Theology and religious vocations ,1097,565,532,SAE,,,,,,,,,,,,,,,,
"Visual and performing arts, general ",1060,547,513,ARI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SAT scores gathered from https://reports.collegeboard.org/media/pdf/2022-total-group-sat-suite-of-assessments-annual-report.pdf,,,,,,,,,,,,,,,,,,,,

